id,title,point,level,solved,wrong,no,tags,open,wp,unknown_flag,url
2406,[CISCN 2022 东北]hana,378,3.1,32,12,27,MFC|脱壳|RC4|REVERSE|易语言,True,False,,https://www.nssctf.cn/problem/2406
3321,[MoeCTF 2022]Broken_hash,378,2.8,32,16,14,patch|REVERSE|C|反调试,True,False,,https://www.nssctf.cn/problem/3321
3387,[MoeCTF 2021]clothes,378,2.8,32,12,14,脱壳|XOR|REVERSE|aspack,True,False,,https://www.nssctf.cn/problem/3387
3452,[长城杯 2022 高校组]baby_re,378,3.8,32,26,35,逆向技术|脱壳|REVERSE,True,False,,https://www.nssctf.cn/problem/3452
5192,[GHCTF 2024 新生赛]Ez_asm,378,3.1,32,42,18,REVERSE,True,False,,https://www.nssctf.cn/problem/5192
5932,[SWPUCTF 2024 秋季新生赛]好像也是py？,378,4.7,32,75,21,Python|REVERSE,True,False,,https://www.nssctf.cn/problem/5932
5935,[SWPUCTF 2024 秋季新生赛]flower？,378,2.8,32,44,22,REVERSE,True,False,,https://www.nssctf.cn/problem/5935
7309,[SWPUCTF 2025 秋季新生赛]ez_tea,378,4.1,32,11,63,反调试|SMC|XTEA|HOOK|REVERSE,True,False,,https://www.nssctf.cn/problem/7309
5908,[yeran]easy_C,381,2.2,31,52,11,REVERSE,True,False,,https://www.nssctf.cn/problem/5908
5080,[NSSRound#17 Basic]snake,384,3.0,30,21,11,动态调试|Golang|REVERSE,True,False,,https://www.nssctf.cn/problem/5080
5110,[NSSRound#18 Basic]炒鸡常见的编码哇,384,4.2,30,12,51,Base64|C|自定义逻辑|算法分析,True,False,,https://www.nssctf.cn/problem/5110
5341,[bamuwe]周四一键出flag,384,2.1,30,48,19,脱壳|反调试,True,False,,https://www.nssctf.cn/problem/5341
5938,[SWPUCTF 2024 秋季新生赛]这来做点数学题吧,384,3.2,30,5,18,Z3|语言逆向|C|逆向技术|REVERSE,True,False,,https://www.nssctf.cn/problem/5938
2329,[SUCTF 2018 招新赛]HelloPython,387,1.3,29,41,13,REVERSE|pyc逆向|TEA,True,False,,https://www.nssctf.cn/problem/2329
5190,[GHCTF 2024 新生赛]crackMe,387,3.5,29,37,51,REVERSE,True,False,,https://www.nssctf.cn/problem/5190
6794,[LitCTF 2025]FeatureExtraction,387,3.2,29,7,48,C|自定义逻辑|REVERSE,True,False,,https://www.nssctf.cn/problem/6794
7087,[Reisen]NSSCTF2025入门题目-Unity,387,3.7,29,59,35,C#,True,True,,https://www.nssctf.cn/problem/7087
751,[suctf 2019]signin,390,3.7,28,9,17,逆向,True,False,,https://www.nssctf.cn/problem/751
1102,[GXYCTF 2019]simple CPP,390,3.1,28,40,28,逆向|z3,True,False,,https://www.nssctf.cn/problem/1102
3393,[MoeCTF 2021]RedC4Bomb,390,2.5,28,4,18,RC4|REVERSE|花指令,True,False,,https://www.nssctf.cn/problem/3393
7093,[Reisen]NSSCTF2025入门题目-JS太鼓达人,390,4.0,28,8,31,逆向技术|RC4,True,True,,https://www.nssctf.cn/problem/7093
929,[justCTF 2020]That's not crypto,393,3.0,27,9,16,逆向|pyc反编译,True,False,,https://www.nssctf.cn/problem/929
1227,[MTCTF 2021 final]pyc,393,3.1,27,15,32,PYC|Python|逆向,True,False,,https://www.nssctf.cn/problem/1227
2542,[网鼎杯 2022 青龙组]Handmake,393,0.9,27,46,35,Golang|REVERSE,True,False,,https://www.nssctf.cn/problem/2542
7064,[zzz26]NSSCTF2025入门题目-认识asm,393,3.4,27,7,23,REVERSE,True,True,,https://www.nssctf.cn/problem/7064
